Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
4/30/2019,65371,18106,PA,Allentown-Bethlehem-Easton,Lehigh County,Lower Macungie,9921,269400,-0.00148258,0.006350392,0.058546169,0.029722593,0.008759529,2006-08,2006-Q3,278000,-0.030935252,2006-04
4/30/2019,65868,19343,PA,Philadelphia-Camden-Wilmington,Chester County,Glenmoore,9922,408300,0,0.00147167,0.014409938,0.030881445,0.010666035,2018-08,2018-Q3,409200,-0.002199413,2018-06
4/30/2019,81547,54025,WI,Minneapolis-St. Paul-Bloomington,Saint Croix County,Somerset,9923,264500,-0.014530551,-0.036078717,0.001893939,0.086990273,0.033526262,2018-11,2018-Q4,279200,-0.05265043,2018-05
4/30/2019,66267,20180,VA,Washington-Arlington-Alexandria,Loudoun County,Lovettsville,9924,501200,-0.00318218,0.011299435,0.047877901,0.038967935,0.025877614,2005-12,2005-Q4,582200,-0.139127448,2004-12
4/30/2019,79284,48622,MI,,Clare County,Farwell,9925,108500,-0.018099548,-0.036412078,0.110542477,0.066871261,,2019-01,2019-Q1,112600,-0.036412078,2018-09
4/30/2019,90718,75140,TX,,Van Zandt County,Grand Saline,9926,100900,0.000992063,0.013052209,0.137542277,0.043630377,0.025290332,2019-04,2019-Q2,100900,0,2019-04
4/30/2019,99957,98672,WA,,Klickitat County,White Salmon,9927,365500,-0.001093195,-0.004900626,0.046678121,0.10766738,0.048876688,2018-11,2018-Q4,369800,-0.011627907,2018-10
4/30/2019,61158,8734,NJ,New York-Newark-Jersey City,Ocean County,Lacey,9928,277000,0.007272727,0.016513761,0.022140221,0.013920361,-0.00495263,2006-08,2006-Q3,354800,-0.219278467,2004-08
4/30/2019,62789,12845,NY,Glens Falls,Warren County,Lake George,9929,267800,-0.001863586,-0.013264554,-0.038765255,0.01119538,0.002230251,2007-10,2007-Q4,283200,-0.054378531,2006-02
4/30/2019,76776,43617,OH,Toledo,Lucas County,Toledo,9930,214900,0.000931532,0.018000947,0.067030785,0.049476685,0.025846114,2019-04,2019-Q2,214900,0,2019-04
4/30/2019,71887,32234,FL,Jacksonville,Duval County,Jacksonville,9931,176800,0.003975014,0.01086335,0.055522388,0.087377918,0.025160347,2019-04,2019-Q2,176800,0,2019-04
4/30/2019,87134,66218,KS,Kansas City,Johnson County,Shawnee,9932,307300,0.000325521,0.009195402,0.052036974,0.047040258,0.028330326,2019-04,2019-Q2,307300,0,2019-04
4/30/2019,64892,17061,PA,Harrisburg-Carlisle,Dauphin County,Upper Paxton,9933,131600,-0.006042296,0.00304878,0.053642914,0.041284695,0.010030324,2018-09,2018-Q3,132500,-0.006792453,2018-09
4/30/2019,69296,27316,NC,Greensboro-High Point,Randolph County,Ramseur,9934,114700,0.005258545,0.013250883,0.083097262,0.045320774,0.0117047,2019-04,2019-Q2,114700,0,2019-04
